remove___1c4a1fbb6f2ede15___-2841,1759,0___90,-0,-0
spawn___1c4a1fbb6f2ede15___-4357,1590,0___0,0,-0
spawn___1c4a1fbb6f2ede15___-4040,1548,0___0,0,-0
spawn___1c4a1fbb6f2ede15___-3755,1552,0___0,0,-0
remove___98d5a0843f112f96___-1362,2583,300___0,0,-0
spawn___98d5a0843f112f96___-1160,2053,300___0,0,-0
spawn___98d5a0843f112f96___-1121,2181,299___0,0,-0
spawn___98d5a0843f112f96___-1136,2314,300___0,0,-0
spawn___98d5a0843f112f96___-1166,2423,300___0,0,-0
spawn___98d5a0843f112f96___-1227,2542,299___0,0,-0
spawn___98d5a0843f112f96___-1326,2602,300___0,0,-0
spawn___98d5a0843f112f96___-1439,2617,300___0,0,-0
spawn___98d5a0843f112f96___-1592,2572,300___0,0,-0
spawn___98d5a0843f112f96___-1709,2443,300___0,0,-0
spawn___98d5a0843f112f96___-1710,2308,300___0,0,-0
spawn___98d5a0843f112f96___-1680,2138,300___0,0,-0
spawn___98d5a0843f112f96___-1637,2038,300___0,0,-0
spawn___98d5a0843f112f96___-1358,2098,300___0,0,-0
spawn___98d5a0843f112f96___-1474,2202,300___0,0,-0
spawn___98d5a0843f112f96___-1501,2320,300___0,0,-0
remove___9d011b473e68d53f___-1416,2591,0___0,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___5,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___5,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___10,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___10,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___15,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___15,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___20,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___20,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___25,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___25,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___30,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___30,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___35,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___35,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___40,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___40,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___44,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___44,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___49,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___49,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___54,-0,-0
remove___b9869a7606efc077___-1370,2645,0___93,-0,-0
spawn___b9869a7606efc077___-1370,2645,0___98,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___54,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___59,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___59,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___63,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___63,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___69,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___69,-0,-0
